Timestamp,Visit Date,Demographics,Tops,Collared Shirts,Sweaters,Pants,Skirts,Shorts,Dresses,Outerwear,Shoes,Accessories,Experience Rating,Did you bring donations with you today?
1/17/2025 12:07:12,1/17/2025,Undergraduate,1,,1,,,,1,,,1,5,No
1/17/2025 12:07:32,1/17/2025,Undergraduate,1,,,,,,1,,,1,5,No
1/17/2025 12:14:23,1/17/2025,Undergraduate,,,1,,1,,,,,,5,Yes
1/17/2025 12:18:13,1/17/2025,Undergraduate,,1,1,,,,,,,,5,No
1/17/2025 12:22:40,1/17/2025,Undergraduate,1,,,,,,1,,,1,5,No
1/17/2025 12:24:30,1/17/2025,Undergraduate,,,1,,,,,1,,,5,Yes
1/17/2025 12:26:17,1/17/2025,Graduate,4,2,2,2,,2,,2,3,1,5,Yes
1/17/2025 12:36:53,1/17/2025,Graduate,3,,,1,,,,,,,5,No
1/17/2025 12:52:48,1/17/2025,Undergraduate,1,,,,,,,,,2,5,No
1/17/2025 12:57:27,1/17/2025,Undergraduate,,2,1,,1,,1,,,2,5,Yes
1/17/2025 12:58:03,1/17/2025,Undergraduate,2,,,3,,,,,1,3,5,No
1/17/2025 13:06:39,1/17/2025,Undergraduate,,,1,,,,,,1,,5,Yes
1/17/2025 13:14:23,1/17/2025,Undergraduate,,,,1,1,,,,,1,5,No
1/17/2025 13:14:54,1/17/2025,Undergraduate,,,,,,,1,1,,2,5,No
1/17/2025 13:23:45,1/17/2025,Undergraduate,,,,1,,,,,,,5,No
1/17/2025 13:28:41,1/17/2025,Undergraduate,,,1,,,,,,,3,5,No
1/17/2025 13:29:36,1/17/2025,Undergraduate,1,,,,,,,,,,5,No
1/17/2025 13:45:17,1/17/2025,Undergraduate,2,1,,,1,,,,1,,5,No
1/17/2025 13:45:40,1/17/2025,Undergraduate,1,1,1,,,,,,2,,5,Donated at blue bin
1/17/2025 13:48:10,1/17/2025,Undergraduate,1,,1,,,,,,,,5,No
1/17/2025 13:49:15,1/17/2025,Undergraduate,,,,,,,,,1,1,5,No
1/17/2025 13:54:30,1/17/2025,Undergraduate,,,1,,,,,,,,5,No
1/17/2025 14:02:49,1/17/2025,Undergraduate,1,,1,,,,,,,1,4,No
1/17/2025 14:30:26,1/17/2025,Undergraduate,,,,,1,,,,,,5,Donated at blue bin
1/17/2025 14:31:14,1/17/2025,Undergraduate,,,3,,,,,1,,,4,Yes
1/17/2025 14:59:33,1/17/2025,Undergraduate,,,2,,,,,,,,5,Yes
1/17/2025 15:00:01,1/17/2025,Undergraduate,1,,,,,,,,,,5,Donated at blue bin
1/17/2025 15:00:55,1/17/2025,Undergraduate,1,,,,,,,,,,4,Yes
1/17/2025 15:01:19,1/17/2025,Undergraduate,3,,,,,,1,,,,5,Yes
1/17/2025 15:01:59,1/17/2025,Undergraduate,,,,,,,,1,,,5,Yes
1/17/2025 15:02:21,1/17/2025,Undergraduate,,,1,,,,,,,,5,No
1/17/2025 15:02:41,1/17/2025,Undergraduate,,,,1,,,,,,,5,No
1/17/2025 15:32:59,1/17/2025,Undergraduate,3,,,,,,,1,,,5,No
1/17/2025 15:56:38,1/17/2025,Graduate,2,,1,,,,,,,,5,Yes
1/24/2025 10:24:47,1/24/2025,Undergraduate,,,,1,,,,,,,5,Donated at blue bin
1/24/2025 10:25:44,1/24/2025,Undergraduate,,1,,,,,,,,,5,Donated at blue bin
1/24/2025 11:22:14,1/24/2025,Undergraduate,1,,,,,,,,2,1,5,No
1/24/2025 11:22:42,1/24/2025,Undergraduate,3,1,,1,,,,,,1,4,No
1/24/2025 11:23:53,1/24/2025,Undergraduate,2,,,,,,,,,,5,Donated at blue bin
1/24/2025 11:24:50,1/24/2025,Undergraduate,2,1,,,,,1,,,,5,No
1/24/2025 11:34:47,1/24/2025,Undergraduate,,2,,1,,,,1,,,5,No
1/24/2025 11:44:24,1/24/2025,Undergraduate,,,2,,,,,,,,5,No
1/24/2025 11:47:03,1/24/2025,Undergraduate,4,,,,,,,,,,5,Yes
1/24/2025 12:45:30,1/24/2025,Undergraduate,2,,,3,,,,,1,2,5,Yes
1/24/2025 12:46:07,1/24/2025,Undergraduate,,,,2,,,1,,2,,5,Yes
1/24/2025 12:47:06,1/24/2025,Graduate,,,,1,,,2,1,,1,5,No
1/24/2025 12:50:06,1/24/2025,Undergraduate,2,,,,,,1,,,,5,No
1/24/2025 13:02:41,1/24/2025,Graduate,3,,1,,,,,1,,1,5,No
1/24/2025 13:07:50,1/24/2025,Undergraduate,1,,1,1,1,,1,,,,5,Donated at blue bin
1/24/2025 13:22:18,1/24/2025,Undergraduate,1,,1,,,,,,,,5,Yes
1/24/2025 13:22:43,1/24/2025,Undergraduate,2,,,,,,,1,,,5,Yes
1/24/2025 13:25:13,1/24/2025,Undergraduate,,,,1,,,,,,,3,Yes
1/24/2025 13:25:23,1/24/2025,Undergraduate,3,,,,,,,,,,5,Yes
1/24/2025 13:38:17,1/24/2025,Undergraduate,,,,1,,,,,,,5,Yes
1/24/2025 13:43:45,1/24/2025,Undergraduate,,,,,,,,,,1,5,No
1/24/2025 13:51:51,1/24/2025,Undergraduate,,,1,,,1,1,,,,5,No
1/24/2025 13:51:56,1/24/2025,Undergraduate,,,4,,,,,,,,5,No
1/24/2025 13:55:34,1/24/2025,Undergraduate,,,1,,1,,,,1,,5,Yes
1/24/2025 13:55:58,1/24/2025,Undergraduate,1,1,1,1,,,1,,,,5,Yes
1/24/2025 14:10:21,1/24/2025,Undergraduate,4,4,4,4,4,4,4,4,4,8,4,Donated at blue bin
1/24/2025 14:11:34,1/24/2025,Undergraduate,2,1,,,,,,,,1,5,Donated at blue bin
1/24/2025 14:12:41,1/24/2025,Undergraduate,3,,2,,1,,,,,,5,No
1/24/2025 14:13:04,1/24/2025,Undergraduate,4,,2,7,,,,1,,3,5,No
1/24/2025 15:23:12,1/24/2025,Undergraduate,,,,,,,,,,2,5,No
1/24/2025 15:41:24,1/24/2025,Undergraduate,1,,,1,,,,,,,5,No
1/24/2025 15:48:37,1/24/2025,Graduate,2,,2,,,,,,,,5,No
1/24/2025 15:51:57,1/24/2025,Graduate,,,,2,,,,,,,5,Yes
1/31/2025 10:41:33,1/31/2025,Undergraduate,,,2,,,,,,,,5,No
1/31/2025 15:32:11,1/31/2025,Undergraduate,1,,,,,,2,,,,5,No
1/31/2025 10:49:49,1/31/2025,Undergraduate,,,1,,,,1,,,,5,No
1/31/2025 11:00:30,1/31/2025,Undergraduate,1,,1,1,,,,,,,5,Yes
1/31/2025 11:01:58,1/31/2025,Undergraduate,,,,,,,,,,1,5,Yes
1/31/2025 11:08:00,1/31/2025,Undergraduate,,,1,,,,,,,,5,No
1/31/2025 11:26:17,1/31/2025,Undergraduate,,3,,,1,,1,,,,5,Donated at blue bin
1/31/2025 11:27:31,1/31/2025,Undergraduate,1,,,,,,1,,,1,5,No
1/31/2025 11:35:40,1/31/2025,Graduate,,,,,1,,,,,,5,No
1/31/2025 12:40:06,1/31/2025,Undergraduate,1,,,,,,,,,,5,Donated at blue bin
1/31/2025 12:41:04,1/31/2025,Undergraduate,,1,,,,,,,,,5,Yes
1/31/2025 12:51:19,1/31/2025,Undergraduate,,1,,1,,,,,,,5,Yes
1/31/2025 12:58:23,1/31/2025,Undergraduate,1,,1,,1,,,,,,5,No
1/31/2025 12:59:30,1/31/2025,Undergraduate,1,,,,1,,,,1,,5,No
1/31/2025 12:59:56,1/31/2025,Undergraduate,,,,,,,1,,,,5,No
1/31/2025 13:07:28,1/31/2025,Graduate,1,,,1,,,2,,,1,5,Yes
1/31/2025 13:13:43,1/31/2025,Undergraduate,1,,,,,,,,,1,5,Donated at blue bin
1/31/2025 13:15:24,1/31/2025,Undergraduate,1,,,,,,,,,,5,No
1/31/2025 13:16:23,1/31/2025,Non-GW-affiliated community member,,,,,,,,,1,,5,No
1/31/2025 13:17:24,1/31/2025,Undergraduate,,,,1,,,,1,,,5,No
1/31/2025 13:28:56,1/31/2025,Undergraduate,,,,,1,,,,,,5,No
1/31/2025 13:29:40,1/31/2025,Undergraduate,1,,,,1,,2,,,,5,No
1/31/2025 13:37:09,1/31/2025,Undergraduate,1,,,,,,,,,1,5,No
1/31/2025 13:38:19,1/31/2025,Undergraduate,1,,,,,,,,,,5,Yes
1/31/2025 14:18:02,1/31/2025,Graduate,,,,,,,,1,,,5,Yes
1/31/2025 14:44:26,1/31/2025,Undergraduate,,2,,,,,,,,,5,No
1/31/2025 14:56:23,1/31/2025,Undergraduate,,,1,1,,,,,,,5,Yes
1/31/2025 14:58:26,1/31/2025,Undergraduate,,,1,1,1,,,,,,5,No
1/31/2025 15:03:09,1/31/2025,Undergraduate,,,2,,,,,,,,5,No
1/31/2025 15:05:33,1/31/2025,Undergraduate,,,,,1,,,,,,5,Yes
1/31/2025 15:09:17,1/31/2025,Undergraduate,7,,1,1,,1,1,,1,,5,Yes
1/31/2025 15:14:26,1/31/2025,Undergraduate,,,1,,,,,,,,5,No
1/31/2025 15:20:23,1/31/2025,Undergraduate,2,,,,,,,,,,5,No
1/31/2025 15:28:33,1/31/2025,Graduate,2,1,1,2,,,,,1,,5,No
1/31/2025 15:31:59,1/31/2025,Undergraduate,,,1,,,,,,,,3,No
1/31/2025 15:35:03,1/31/2025,Undergraduate,,1,,,,,,,,,5,No
1/31/2025 15:41:38,1/31/2025,Undergraduate,,1,,,,,1,2,,2,5,No
1/31/2025 15:47:38,1/31/2025,Undergraduate,2,,,,,,1,,,,5,No
1/31/2025 15:50:24,1/31/2025,Undergraduate,,1,1,,,,,,1,,5,Yes
1/31/2025 16:00:10,1/31/2025,Staff,3,,,,,,,,,,5,No
1/31/2025 16:00:55,1/31/2025,Staff,2,,,,,,1,,,,5,No
2/7/2025 12:31:48,2/7/2025,Undergraduate,1,,,,,,1,,,,5,No
2/7/2025 10:37:08,2/7/2025,Undergraduate,2,,,2,,,,,,,5,Yes
2/7/2025 10:37:44,2/7/2025,Undergraduate,1,,,,1,,1,,,,5,Yes
2/7/2025 10:44:32,2/7/2025,Undergraduate,,,,2,,,,,,,4,No
2/7/2025 11:28:11,2/7/2025,Undergraduate,1,,,1,,,,,,,5,No
2/7/2025 11:32:54,2/7/2025,Undergraduate,2,2,1,1,1,1,1,1,1,1,5,Yes
2/7/2025 12:08:45,2/7/2025,Graduate,1,,,,,,,1,,,5,No
2/7/2025 12:31:28,2/7/2025,Undergraduate,1,,1,,,,,,,,3,No
2/7/2025 12:43:44,2/7/2025,Undergraduate,,,,1,,,,,,,5,No
2/7/2025 13:10:22,2/7/2025,Graduate,3,,1,1,,,,,,,5,Yes
2/7/2025 13:19:23,2/7/2025,Undergraduate,1,,1,,,,,,,,5,Yes
2/7/2025 14:11:38,2/7/2025,Undergraduate,,,,,,,1,,,,5,Yes
2/7/2025 14:20:01,2/7/2025,Undergraduate,,,,1,,,,,,,5,Yes
2/7/2025 14:21:32,2/7/2025,Undergraduate,,,,1,,,,,1,,5,No
2/7/2025 14:24:19,2/7/2025,Undergraduate,1,,1,,1,,,,,,5,Yes
2/7/2025 14:30:31,2/7/2025,Undergraduate,,,1,,,,2,,,,5,No
2/7/2025 14:58:23,2/7/2025,Undergraduate,3,1,,,,,,,,1,5,Yes
2/7/2025 14:59:21,2/7/2025,Undergraduate,1,,1,,,1,,,,,4,Yes
2/7/2025 15:00:24,2/7/2025,Graduate,2,,1,,,,,,,1,5,Donated at blue bin
2/7/2025 15:01:04,2/7/2025,Graduate,1,,,,,,,2,,2,5,No
2/7/2025 15:07:00,2/7/2025,Undergraduate,2,,,,,,,,,,5,No
2/7/2025 15:07:26,2/7/2025,Undergraduate,1,,,,,,1,,,,5,No
2/7/2025 15:20:36,2/7/2025,Undergraduate,1,,1,,,,,,,,5,No
2/7/2025 15:32:35,2/7/2025,Undergraduate,,1,,,,,,,,1,5,No
2/7/2025 15:37:40,2/7/2025,Undergraduate,3,1,1,3,,2,,1,,,5,Yes
2/7/2025 15:38:27,2/7/2025,Undergraduate,,,,,,,,,,2,5,Yes
2/7/2025 15:40:23,2/7/2025,Undergraduate,1,,,,,,,,,,5,No
2/14/2025 11:29:45,2/14/2025,Undergraduate,,,1,,1,,,,,,4,Yes
2/14/2025 11:30:22,2/14/2025,Undergraduate,,,1,,,,,,,3,5,No
2/14/2025 11:33:14,2/14/2025,Graduate,1,,3,,,,1,,1,,5,Yes
2/14/2025 12:15:02,2/14/2025,Undergraduate,1,,,3,,,1,,,,5,No
2/14/2025 12:20:38,2/14/2025,Undergraduate,4,,,,,,1,,,,5,No
2/14/2025 12:34:40,2/14/2025,Undergraduate,3,,2,1,,,1,,,1,5,Yes
2/14/2025 12:36:08,2/14/2025,Undergraduate,,1,,1,,,,,,,5,No
2/14/2025 13:03:08,2/14/2025,Undergraduate,4,,1,1,,,,,,,5,Yes
2/14/2025 13:04:18,2/14/2025,Graduate,3,,1,3,,,,,,2,5,Yes
2/14/2025 13:16:15,2/14/2025,Undergraduate,2,,3,,,,,,,,5,Yes
2/14/2025 13:17:08,2/14/2025,Graduate,,,,1,,,1,,,,5,Donated at blue bin
2/14/2025 13:36:11,2/14/2025,Undergraduate,1,,,,,,1,,,,5,Yes
2/14/2025 13:38:39,2/14/2025,Undergraduate,2,1,,,,,,,,,5,No
2/14/2025 13:39:49,2/14/2025,Undergraduate,2,,1,,,,1,,1,,5,No
2/14/2025 13:40:38,2/14/2025,Undergraduate,1,,2,1,,,,,,,5,No
2/14/2025 13:42:29,2/14/2025,Undergraduate,2,3,,,,,,,,,4,No
2/14/2025 13:43:19,2/14/2025,Undergraduate,,,,,1,,,,,,5,No
2/14/2025 13:44:10,2/14/2025,Undergraduate,,1,,,,1,,,,,5,No
2/14/2025 13:52:05,2/14/2025,Undergraduate,2,,,,2,,,,,,5,No
2/14/2025 14:34:23,2/14/2025,Undergraduate,,,,,,,,1,,,5,No
2/14/2025 14:48:36,2/14/2025,Undergraduate,4,,1,,,,,,,,5,Donated at blue bin
2/14/2025 15:00:21,2/14/2025,Undergraduate,3,,2,,,,1,,,,5,No
2/14/2025 15:08:15,2/14/2025,Undergraduate,,,,,,,2,,,,5,No
2/14/2025 15:08:49,2/14/2025,Undergraduate,,,1,1,,,,,,,5,Yes
2/14/2025 15:27:12,2/14/2025,Undergraduate,,1,,,,,,,,,5,No
2/14/2025 15:37:26,2/14/2025,Undergraduate,1,,,1,1,,1,,,,5,Donated at blue bin
2/14/2025 15:40:50,2/14/2025,Graduate,,,2,1,,,,,,1,4,Yes
2/14/2025 15:52:18,2/14/2025,Undergraduate,2,,3,,,,,,,,5,Donated at blue bin
2/14/2025 15:53:53,2/14/2025,Undergraduate,,,,,1,,,,,,5,Donated at blue bin
2/14/2025 15:58:56,2/14/2025,Undergraduate,,,,1,1,,,,,,5,Yes
2/14/2025 16:19:49,2/14/2025,Undergraduate,1,,1,3,,1,,1,1,,5,Donated at blue bin
2/14/2025 16:22:24,2/14/2025,Undergraduate,2,,,,,1,,,,,5,No
2/21/2025 10:23:09,2/21/2025,Undergraduate,1,,,,,,1,,,,5,Yes
2/21/2025 10:24:25,2/21/2025,Undergraduate,,,2,,,,,,,,4,Yes
2/21/2025 11:58:58,2/21/2025,Undergraduate,3,,,,,1,,,,,5,Yes
2/21/2025 12:29:05,2/21/2025,Undergraduate,,,,2,,,,,,,5,Yes
2/21/2025 12:32:58,2/21/2025,Undergraduate,2,,,,1,,,,,1,5,Yes
2/21/2025 12:35:24,2/21/2025,Undergraduate,1,,1,,,1,,,,,5,Yes
2/21/2025 12:46:55,2/21/2025,Graduate,2,,,2,1,,,,,,5,Yes
2/21/2025 12:51:35,2/21/2025,Undergraduate,2,,,,,,2,,,,5,Yes
2/21/2025 13:07:55,2/21/2025,Undergraduate,2,,,,,,1,,,,5,No
2/21/2025 13:12:25,2/21/2025,Undergraduate,2,,1,2,,,1,,,,5,Donated at blue bin
2/21/2025 13:13:32,2/21/2025,Undergraduate,,,,2,,,,,,,5,Yes
2/21/2025 13:17:17,2/21/2025,Undergraduate,,,,,1,,,,,,5,No
2/21/2025 13:38:10,2/21/2025,Undergraduate,,2,,,,,,1,,,5,Yes
2/21/2025 14:01:49,2/21/2025,Undergraduate,2,,1,,,,,,,3,5,Yes
2/21/2025 14:08:06,2/21/2025,Undergraduate,,,2,,,,,,,,5,No
2/21/2025 14:27:44,2/21/2025,Undergraduate,,,,1,,,,,,,5,Yes
2/21/2025 15:19:32,2/21/2025,Undergraduate,1,,1,,,,,,,,5,No
2/21/2025 15:20:56,2/21/2025,Staff,,,,,,,,1,,,5,No
2/21/2025 15:21:41,2/21/2025,Undergraduate,3,1,1,,,,,,,,5,No
2/21/2025 15:23:47,2/21/2025,Undergraduate,4,,,1,,,,1,1,,5,No
2/21/2025 15:44:02,2/21/2025,Graduate,1,,,,,2,1,1,,,5,Yes
2/21/2025 15:45:00,2/21/2025,Undergraduate,1,1,1,1,,,,,,,5,No
2/21/2025 15:48:52,2/21/2025,Undergraduate,,1,2,3,,,,1,1,,5,Donated at blue bin
2/21/2025 16:00:01,2/21/2025,Undergraduate,,,3,,,,,,,,5,No
2/21/2025 13:14:11,2/21/2025,Undergraduate,1,,2,,,,,,,,5,No
2/21/2025 14:08:58,2/21/2025,Undergraduate,1,,,,,,,,,,5,No
2/21/2025 14:28:38,2/21/2025,Undergraduate,1,,,,,,,,,,5,Yes
2/21/2025 15:21:38,2/21/2025,Undergraduate,2,2,2,,,,,,1,,5,No
2/21/2025 15:23:25,2/21/2025,Undergraduate,1,,1,,,,,,,,4,No
2/25/2025 15:42:41,2/25/2025,Graduate,1,,,1,,1,,1,,,5,No
2/25/2025 15:51:20,2/25/2025,Undergraduate,,,,1,,,,1,,,5,No
2/25/2025 16:28:26,2/25/2025,Undergraduate,4,,2,,,,,,,,5,Donated at blue bin
2/25/2025 16:29:37,2/25/2025,Undergraduate,2,,,2,,,1,,,,5,No
2/25/2025 16:31:11,2/25/2025,Undergraduate,1,1,,1,,,,,,,5,Donated at blue bin
2/25/2025 16:35:00,2/25/2025,Graduate,1,,,,1,,1,,,,5,Yes
2/25/2025 16:41:18,2/25/2025,Undergraduate,,3,,1,,,2,1,,,5,Donated at blue bin
2/25/2025 17:34:00,2/25/2025,Undergraduate,,1,,,1,,,,,1,5,No
2/25/2025 17:43:05,2/25/2025,Undergraduate,2,2,,4,,,,1,,,5,Yes
2/25/2025 17:47:40,2/25/2025,Undergraduate,1,,1,1,,2,,,,,5,No
2/25/2025 17:53:27,2/25/2025,Undergraduate,,,,1,3,,,,,1,5,No
2/25/2025 17:47:26,2/25/2025,Undergraduate,1,,,,,,,,,,5,Donated at blue bin
2/26/2025 17:52:39,2/26/2025,Graduate,,,,,,,,,,1,5,No
2/28/2025 10:31:52,2/28/2025,Undergraduate,1,,,,,,,,,,4,No
2/28/2025 11:14:07,2/28/2025,Graduate,,,,,,,,,,1,5,Yes
2/28/2025 11:50:14,2/28/2025,Undergraduate,2,,,,,,,,,,5,No
2/28/2025 11:51:46,2/28/2025,Graduate,3,,,1,,,,1,,,5,No
2/28/2025 11:56:12,2/28/2025,Graduate,4,,2,,,,,,2,,5,Donated at blue bin
2/28/2025 11:59:56,2/28/2025,Undergraduate,1,,,,1,1,,,,1,5,Yes
2/28/2025 12:01:14,2/28/2025,Undergraduate,1,,,1,,,,,,,5,Donated at blue bin
2/28/2025 12:04:04,2/28/2025,Undergraduate,,,,,,,1,,1,,5,No
2/28/2025 12:20:25,2/28/2025,Undergraduate,,,1,1,,,,1,,2,5,Yes
2/28/2025 12:41:03,2/28/2025,Undergraduate,2,,1,2,,,,,,1,5,Donated at blue bin
2/28/2025 13:01:40,2/28/2025,Undergraduate,1,2,,,,,,,,,5,No
2/28/2025 13:37:08,2/28/2025,Undergraduate,1,,1,1,,,,,,,5,No
2/28/2025 14:05:53,2/28/2025,Undergraduate,,2,,,,,,,,,5,No
2/28/2025 14:18:40,2/28/2025,Undergraduate,1,,,,,1,,,,,5,No
2/28/2025 14:48:08,2/28/2025,Undergraduate,,1,2,,,,2,,,1,5,Yes
2/28/2025 14:50:47,2/28/2025,Undergraduate,1,1,,2,,,1,,,,5,Yes
2/28/2025 15:03:20,2/28/2025,Undergraduate,1,,,,,,,,,,5,Yes
2/28/2025 15:15:44,2/28/2025,Undergraduate,,,,1,,,,,,,5,No
2/28/2025 15:21:26,2/28/2025,Undergraduate,2,,,,,,1,,,1,5,No
2/28/2025 15:29:24,2/28/2025,Undergraduate,,,2,,,,,,,,5,Yes
2/28/2025 15:30:52,2/28/2025,Undergraduate,1,,,,,,,,,,5,No
2/28/2025 15:32:11,2/28/2025,Undergraduate,,,,1,,,,,,,5,Yes
2/28/2025 15:37:20,2/28/2025,Undergraduate,,,3,,,,,,,,5,No
2/28/2025 15:38:07,2/28/2025,Undergraduate,,,,,,,,,1,,5,No
2/28/2025 15:39:38,2/28/2025,Undergraduate,1,,,,,,,,,,5,No
2/28/2025 15:40:47,2/28/2025,Undergraduate,,,,,,,,1,,,5,No
2/28/2025 15:58:41,2/28/2025,Undergraduate,2,1,1,4,,,,,,,5,Donated at blue bin
2/28/2025 13:25:01,2/28/2025,Undergraduate,,,,,2,,,1,,,5,Yes
2/28/2025 13:37:20,2/28/2025,Undergraduate,1,1,,1,,,,,,,5,No
2/28/2025 13:37:44,2/28/2025,Undergraduate,2,,,1,6,,,,,,5,No
2/28/2025 14:48:29,2/28/2025,Undergraduate,,,4,,,,1,,,1,5,Yes
2/28/2025 15:30:07,2/28/2025,Undergraduate,2,,,,,,,,,,5,Yes
2/28/2025 15:30:14,2/28/2025,Undergraduate,1,,,,,,1,,,,5,Yes
3/1/2025 11:36:12,3/1/2025,Undergraduate,,,,,,,,,,1,5,No
3/14/2025 10:56:47,3/14/2025,Graduate,1,2,,2,2,,1,1,,,5,Yes
3/14/2025 11:45:17,3/14/2025,Undergraduate,3,,,3,,,1,,,3,5,Yes
3/14/2025 11:47:10,3/14/2025,Undergraduate,2,,2,2,,,,,,,5,Yes
3/14/2025 15:48:20,3/14/2025,Undergraduate,,,,,,,,1,1,,5,Yes
3/14/2025 15:49:20,3/14/2025,Undergraduate,,,,,,,,,,1,5,Yes
3/14/2025 16:01:01,3/14/2025,Undergraduate,,1,,1,,1,2,,,1,5,Donated at blue bin
3/21/2025 12:05:34,3/21/2025,Undergraduate,2,1,,,,,,,,,5,No
3/21/2025 12:12:27,3/21/2025,Graduate,,1,1,,,,,,,,5,Yes
3/21/2025 12:27:02,3/21/2025,Undergraduate,,,,,,,,1,,1,5,No
3/21/2025 12:28:05,3/21/2025,Undergraduate,,1,,,,,,1,,,3,No
3/21/2025 12:33:42,3/21/2025,Graduate,,,1,,,,,,,,5,No
3/21/2025 12:34:55,3/21/2025,Graduate,,,,2,1,,,,,,5,No
3/21/2025 12:36:08,3/21/2025,Graduate,,,,,,,,1,,,5,No
3/21/2025 12:36:13,3/21/2025,Graduate,,1,,,,,,,,,5,No
3/21/2025 12:38:50,3/21/2025,Undergraduate,1,,,,,,,,,1,3,No
3/21/2025 12:40:25,3/21/2025,Graduate,,1,,,,,,,,,5,No
3/21/2025 13:09:53,3/21/2025,Staff,,,,,,,,2,,,5,Donated at blue bin
3/21/2025 13:17:31,3/21/2025,Staff,,,,,,,,,1,,5,No
3/21/2025 13:20:54,3/21/2025,Undergraduate,1,1,4,1,1,1,1,1,1,2,2,No
3/21/2025 13:32:36,3/21/2025,Staff,,,1,,,,,,,,5,Donated at blue bin
3/21/2025 13:57:57,3/21/2025,Undergraduate,,,1,,,,,,,,5,No
3/21/2025 13:58:47,3/21/2025,Undergraduate,,,,,,1,,,,,5,No
3/21/2025 14:30:37,3/21/2025,Undergraduate,,,1,,,,,,,,4,Yes
3/21/2025 14:31:12,3/21/2025,Undergraduate,,,,,,,1,,,,5,Yes
3/21/2025 14:58:53,3/21/2025,Undergraduate,,1,1,,,,,,,,5,Yes
3/21/2025 15:15:22,3/21/2025,Undergraduate,1,1,,,,,,,,,5,No
3/21/2025 15:17:24,3/21/2025,Graduate,2,1,,,,,,,,,5,Donated at blue bin
3/21/2025 15:17:36,3/21/2025,Undergraduate,,,,,,,1,,,,5,No
3/21/2025 15:18:33,3/21/2025,Undergraduate,,,,,,,1,,,,5,No
3/21/2025 15:18:39,3/21/2025,Undergraduate,,1,,,,,,,,,5,No
3/21/2025 15:19:35,3/21/2025,Graduate,,,,,,,1,,,,5,Donated at blue bin
3/21/2025 15:20:55,3/21/2025,Faculty,,,1,,,,1,,,,5,No
3/21/2025 15:21:38,3/21/2025,Graduate,,,1,,,,,,,,5,No
3/21/2025 15:42:41,3/21/2025,Undergraduate,,,,1,,,,,,,5,No
3/21/2025 15:44:58,3/21/2025,Non-GW-affiliated community member,,,,1,,,,,,,5,Yes
3/21/2025 15:46:48,3/21/2025,Graduate,,,,1,,,1,,,,5,No
3/28/2025 10:24:02,3/28/2025,Undergraduate,,,,,1,,,,,,5,No
3/28/2025 10:24:43,3/28/2025,Undergraduate,,,,,,,,,,,5,No
3/28/2025 10:41:03,3/28/2025,Undergraduate,,,,,,,2,,,,5,No
3/28/2025 10:55:12,3/28/2025,Graduate,3,,,2,,,,,2,,5,Yes
3/28/2025 11:09:33,3/28/2025,Undergraduate,,,,1,2,,2,,,,5,Donated at blue bin
3/28/2025 11:14:24,3/28/2025,Undergraduate,3,,1,,,,,,,,5,No
3/28/2025 11:17:31,3/28/2025,Undergraduate,4,,,,,,,,,,5,No
3/28/2025 11:47:31,3/28/2025,Undergraduate,4,,,,,,,,,,5,No
3/28/2025 11:48:23,3/28/2025,Undergraduate,3,1,,,2,,,1,,,5,Yes
